"","Name","Ore Dict","Display name"
"gregtech:frame_darmstadtium:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_darmstadtium:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_darmstadtium:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_darmstadtium:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_darmstadtium:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_darmstadtium:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_darmstadtium:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_darmstadtium:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_darmstadtium:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_darmstadtium:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_darmstadtium:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_draconium:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_draconium:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_draconium:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_draconium:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_draconium:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_draconium:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_draconium:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_draconium:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_draconium:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_draconium:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_draconium:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_draconium:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_draconium:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_draconium:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_draconium:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_draconium:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_duranium:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_duranium:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_duranium:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_duranium:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_duranium:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_duranium:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_duranium:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_duranium:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_duranium:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_duranium:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_duranium:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_duranium:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_duranium:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_duranium:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_duranium:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_duranium:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_eglin_steel:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_eglin_steel:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_eglin_steel:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_eglin_steel:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_eglin_steel:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_eglin_steel:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_eglin_steel:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_eglin_steel:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_eglin_steel:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_eglin_steel:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_eglin_steel:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_eglin_steel:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_eglin_steel:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_eglin_steel:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_eglin_steel:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_eglin_steel:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_einsteinium:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_einsteinium:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_einsteinium:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_einsteinium:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_einsteinium:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_einsteinium:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_einsteinium:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_einsteinium:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_einsteinium:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_einsteinium:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_einsteinium:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_einsteinium:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_einsteinium:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_einsteinium:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_einsteinium:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_einsteinium:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_enriched_naquadah_alloy:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_enriched_naquadah_alloy:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_enriched_naquadah_alloy:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_enriched_naquadah_alloy:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_enriched_naquadah_alloy:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_enriched_naquadah_alloy:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_enriched_naquadah_alloy:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_enriched_naquadah_alloy:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_enriched_naquadah_alloy:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_enriched_naquadah_alloy:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_enriched_naquadah_alloy:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_enriched_naquadah_alloy:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_enriched_naquadah_alloy:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_enriched_naquadah_alloy:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_enriched_naquadah_alloy:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_enriched_naquadah_alloy:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_fermium:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_fermium:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_fermium:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_fermium:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_fermium:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_fermium:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_fermium:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_fermium:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_fermium:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_fermium:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_fermium:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_fermium:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_fermium:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_fermium:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_fermium:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_fermium:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_grisium:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_grisium:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_grisium:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_grisium:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_grisium:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_grisium:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_grisium:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_grisium:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_grisium:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_grisium:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_grisium:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_grisium:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_grisium:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_grisium:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_grisium:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_grisium:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_k243:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_k243:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_k243:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_k243:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_k243:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_k243:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_k243:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_k243:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_k243:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_k243:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_k243:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_k243:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_k243:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_k243:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_k243:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_k243:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_n:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_n:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_n:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_n:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_n:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_n:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_n:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_n:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_n:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_n:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_n:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_n:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_n:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_n:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_n:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_n:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_x78:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_x78:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_x78:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_x78:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_x78:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_x78:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_x78:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_x78:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_x78:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_x78:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_x78:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_x78:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_x78:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_x78:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_x78:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hastelloy_x78:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hdcs:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hdcs:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hdcs:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hdcs:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hdcs:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hdcs:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hdcs:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hdcs:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hdcs:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hdcs:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hdcs:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hdcs:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hdcs:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hdcs:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hdcs:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hdcs:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_heavy_quark_degenerate_matter:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_heavy_quark_degenerate_matter:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_heavy_quark_degenerate_matter:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_heavy_quark_degenerate_matter:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_heavy_quark_degenerate_matter:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_heavy_quark_degenerate_matter:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_heavy_quark_degenerate_matter:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_heavy_quark_degenerate_matter:7","gcyl:meta_dust:1002","dustFluorocarborane","Fluorocarborane Dust"
"gregtech:frame_heavy_quark_degenerate_matter:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_heavy_quark_degenerate_matter:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_heavy_quark_degenerate_matter:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_heavy_quark_degenerate_matter:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_heavy_quark_degenerate_matter:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_heavy_quark_degenerate_matter:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_heavy_quark_degenerate_matter:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_heavy_quark_degenerate_matter:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hg_alloy:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hg_alloy:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hg_alloy:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hg_alloy:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hg_alloy:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hg_alloy:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hg_alloy:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hg_alloy:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hg_alloy:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hg_alloy:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hg_alloy:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hg_alloy:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hg_alloy:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hg_alloy:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hg_alloy:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hg_alloy:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsse:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsse:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsse:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsse:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsse:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsse:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsse:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsse:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsse:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsse:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsse:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsse:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsse:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsse:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsse:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsse:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hssg:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hssg:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hssg:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hssg:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hssg:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hssg:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hssg:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hssg:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hssg:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hssg:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hssg:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hssg:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hssg:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hssg:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hssg:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hssg:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsss:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsss:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsss:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsss:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsss:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsss:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsss:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsss:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsss:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsss:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsss:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsss:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsss:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsss:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsss:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_hsss:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy813:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy813:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy813:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy813:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy813:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy813:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy813:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy813:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy813:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy813:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy813:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy813:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy813:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy813:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy813:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy813:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy_ma:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy_ma:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy_ma:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy_ma:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy_ma:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy_ma:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy_ma:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy_ma:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy_ma:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy_ma:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy_ma:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy_ma:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy_ma:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy_ma:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy_ma:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_incoloy_ma:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_a:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_a:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_a:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_a:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_a:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_a:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_a:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_a:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_a:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_a:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_a:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_a:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_a:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_a:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_a:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_a:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_b:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_b:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_b:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_b:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_b:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_b:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_b:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_b:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_b:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_b:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_b:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_b:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_b:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_b:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_b:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_inconel_b:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_invar:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_invar:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_invar:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_invar:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_invar:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_invar:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_invar:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_invar:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_invar:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_invar:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_invar:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_invar:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_invar:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_invar:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_invar:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_invar:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iridium:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iridium:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iridium:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iridium:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iridium:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iridium:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iridium:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iridium:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iridium:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iridium:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iridium:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iridium:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iridium:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iridium:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iridium:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iridium:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iron:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iron:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iron:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iron:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iron:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iron:5","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iron:6","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iron:7","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iron:8","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iron:9","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iron:10","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iron:11","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iron:12","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iron:13","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iron:14","Missing[]","Missing[]","Missing[]"
"gregtech:frame_iron:15","Missing[]","Missing[]","Missing[]"
"gregtech:frame_lafium:0","Missing[]","Missing[]","Missing[]"
"gregtech:frame_lafium:1","Missing[]","Missing[]","Missing[]"
"gregtech:frame_lafium:2","Missing[]","Missing[]","Missing[]"
"gregtech:frame_lafium:3","Missing[]","Missing[]","Missing[]"
"gregtech:frame_lafium:4","Missing[]","Missing[]","Missing[]"
"gregtech:frame_lafium:5","Missing[]","Missing[]","Missing[]"
